record_id,subscription_id,virtual_time,real_time,stage,payload
4f6d6ab4-461c-4bcb-8f1e-0f58d7d1c991,sub_1760,2026-08-25T09:03:54.357622+00:00,2026-08-28T13:27:58.410457+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""bank_technical_error"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1760"", ""invoice_id"": ""inv_1760"", ""occurred_at"": ""2026-08-25T09:03:54.357622Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1760""}"
40063a9b-409f-4e77-906c-f0cb17e895b5,sub_0440,2026-08-25T09:04:11.133718+00:00,2026-08-28T13:27:58.411241+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""payment_timed_out"", ""error_source"": ""gateway"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_0440"", ""invoice_id"": ""inv_0440"", ""occurred_at"": ""2026-08-25T09:04:11.133718Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_0440""}"
e613a7b8-8908-4486-9ec0-af80608e5ff6,sub_0392,2026-08-25T09:04:47.244639+00:00,2026-08-28T13:27:58.412005+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""insufficient_funds"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_0392"", ""invoice_id"": ""inv_0392"", ""occurred_at"": ""2026-08-25T09:04:47.244639Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_0392""}"
fce8055e-2b81-40ac-b2f4-59d4a5dc853c,sub_1734,2026-08-25T09:05:43.223266+00:00,2026-08-28T13:27:58.412819+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""payment_risk_check_failed"", ""error_source"": ""gateway"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1734"", ""invoice_id"": ""inv_1734"", ""occurred_at"": ""2026-08-25T09:05:43.223266Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1734""}"
7f30fc87-b5f2-490c-aa49-1828c6cfbf71,sub_1538,2026-08-25T09:05:49.834184+00:00,2026-08-28T13:27:58.413374+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""card_declined"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1538"", ""invoice_id"": ""inv_1538"", ""occurred_at"": ""2026-08-25T09:05:49.834184Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1538""}"
5c18e8ba-7028-47e8-a2c4-2797817f0ec0,sub_0562,2026-08-25T09:08:25.693704+00:00,2026-08-28T13:27:58.413809+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""insufficient_funds"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_0562"", ""invoice_id"": ""inv_0562"", ""occurred_at"": ""2026-08-25T09:08:25.693704Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_0562""}"
cef6fb52-01d7-4419-844a-34652e079bbb,sub_1430,2026-08-25T09:08:51.291685+00:00,2026-08-28T13:27:58.414191+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""subscription_cancelled"", ""error_source"": ""business"", ""error_step"": ""payment_initiation"", ""event_id"": ""evt_1430"", ""invoice_id"": ""inv_1430"", ""occurred_at"": ""2026-08-25T09:08:51.291685Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1430""}"
7990b626-dc18-48df-baaf-d78d887e8fba,sub_1346,2026-08-25T09:10:18.484114+00:00,2026-08-28T13:27:58.414573+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""insufficient_funds"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1346"", ""invoice_id"": ""inv_1346"", ""occurred_at"": ""2026-08-25T09:10:18.484114Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1346""}"
4822526e-a23a-4f33-b83d-5a58658f5b52,sub_0609,2026-08-25T09:12:29.170293+00:00,2026-08-28T13:27:58.414963+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""card_not_enrolled"", ""error_source"": ""issuer"", ""error_step"": ""payment_authentication"", ""event_id"": ""evt_0609"", ""invoice_id"": ""inv_0609"", ""occurred_at"": ""2026-08-25T09:12:29.170293Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_0609""}"
f3c1fad6-4688-465e-b2a4-319cab26e9ee,sub_1251,2026-08-25T09:16:23.581666+00:00,2026-08-28T13:27:58.415389+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""gateway_technical_error"", ""error_source"": ""gateway"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1251"", ""invoice_id"": ""inv_1251"", ""occurred_at"": ""2026-08-25T09:16:23.581666Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1251""}"
7d96becd-86d0-4746-bb88-b50b1a18066b,sub_1528,2026-08-25T09:19:25.044056+00:00,2026-08-28T13:27:58.415856+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""payment_failed"", ""error_source"": ""gateway"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_1528"", ""invoice_id"": ""inv_1528"", ""occurred_at"": ""2026-08-25T09:19:25.044056Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_1528""}"
7e530358-a43d-487b-a953-b018f39baeb9,sub_0755,2026-08-25T09:20:08.546765+00:00,2026-08-28T13:27:58.416486+00:00,ingest,"{""attempt_number"": 1, ""error_reason"": ""insufficient_funds"", ""error_source"": ""bank"", ""error_step"": ""payment_authorization"", ""event_id"": ""evt_0755"", ""invoice_id"": ""inv_0755"", ""occurred_at"": ""2026-08-25T09:20:08.546765Z"", ""source"": ""cohort"", ""subscription_id"": ""sub_0755""}"
